000156|528705|0001|20170503|173759|탄벌점
000259|1000000|0001|20170503|190649|한대점
000073|600000|0001|20170503|055847|노유점
000331|250000|0001|20170503|221658|당진점
000150|200000|0001|20170503|233947|와동점
000041|200000|0001|20170504|004051|원당점
000011|200000|0001|20170504|010431|마평점
000329|164350|0001|20170504|010517|건대점
000069|190620|0001|20170504|013522|박달점
000279|131049|0001|20170504|022001|부천점
000116|300000|0001|20170504|023635|신월3점
000222|200000|0001|20170504|030913|약대점
000116|100000|0001|20170504|033118|신월3점
000029|200000|0001|20170504|034520|구갈점
