000057|400000|0001|20150506|143307|마천점
000011|300000|0001|20150506|143715|마평점
000345|800000|0001|20150506|144926|국제(인천신흥)점
000123|200000|0001|20150506|150644|공항점
000084|800000|0001|20150506|153117|희망대점
000320|500000|0001|20150506|162508|권선점
000327|172590|0001|20150506|163746|오전점
000310|98100|0001|20150506|174944|당하점
000115|215740|0001|20150506|175006|광명2호점
000181|300000|0001|20150506|195402|신갈2
000341|81800|0001|20150506|213032|본오점
000116|60000|0001|20150506|220103|신월3호점
000331|180000|0001|20150506|225026|당진점
000237|540000|0001|20150506|110639|송정밀목점
000241|355420|0001|20150507|004754|원당2호점
000329|58870|0001|20150507|005908|건대점
000326|100000|0001|20150507|010224|광교점
000284|300000|0001|20150507|011614|원곡총각점
000222|300000|0001|20150507|015753|약대점
000279|54950|0001|20150507|015943|부천점
000069|317310|0001|20150507|020815|박달점
000331|20000|0001|20150507|002339|당진점
