000248|300000|0001|20160609|163134|율전점
000341|112830|0001|20160609|163155|본오점
000322|111850|0001|20160609|172641|장지점
000123|300000|0001|20160609|221629|공항점
000116|70000|0001|20160609|105907|신월3호점
000073|600000|0001|20160609|061603|노유점
000011|100000|0001|20160609|141314|마평점
000190|400000|0001|20160609|145055|까치산역점
000329|50880|0001|20160610|012611|건대점
000069|218200|0001|20160610|014942|박달점
000242|710000|0001|20160610|015733|선부점
000279|46750|0001|20160610|020910|부천점
000284|200000|0001|20160610|025214|원곡총각점
000029|100000|0001|20160610|030709|구갈점
000185|252502|0001|20160610|033630|중파점
000327|214030|0001|20160610|034750|오전점
000331|60000|0001|20160610|003542|당진점
000342|1000000|0001|20160610|003818|부곡점
