000123|300000|0001|20180612|123614|공항점
000343|1000000|0001|20180612|142005|파장본점
000115|46200|0001|20180612|160005|광명2점
000326|1000000|0001|20180612|163344|광교점
000073|800000|0001|20180612|164009|노유점
000327|147800|0001|20180612|171518|오전점
000329|27060|0001|20180612|174512|건대점
000010|348451|0001|20180612|182244|성남점
000055|553990|0001|20180612|191525|가산점
000322|46200|0001|20180612|193437|장지점
000210|700000|0001|20180613|010723|곤지암점
000087|350000|0001|20180613|011232|금광점
000150|200000|0001|20180613|020734|와동점
000303|100000|0001|20180613|021705|꼬-당수점
000242|400000|0001|20180613|024045|선부점
000279|172810|0001|20180613|032636|부천점
000222|450000|0001|20180613|033424|약대점
